,Address,District,Community,Area,RentPrice,Layer,Shape,Toward,Release_Date,Rent_Period,Is_lift,Is_parking,water_way,electricity_way,Subwayline_Number,Subway_Distance,Is_TV,Is_fridge,Is_washer,Is_air,Is_heater,Is_bed,Is_heating,Is_wifi,Is_closet,Is_gas,Is_img,Catch_time
0,浦东,陆家嘴,崂山新村,46,6400元/月 (季付价),高楼层/6层,2室0厅,南,1天前,1年以内,无,暂无数据,民水,民电,4,46,1,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/hdic-frame/d654a02d-2b2a-420b-8a30-c6dea35da81f.png.780x439.jpg,2019-07-13 02:55:46
1,浦东,陆家嘴,崂山新村,46,6400元/月 (季付价),高楼层/6层,2室0厅,南,1天前,1年以内,无,暂无数据,民水,民电,4,46,1,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/hdic-frame/d654a02d-2b2a-420b-8a30-c6dea35da81f.png.780x439.jpg,2019-07-13 02:55:52
2,浦东,御桥,北欧阳光庭园,237,15800元/月 ,低楼层/3层,5室2厅,南/北,1天前,暂无数据,无,暂无数据,民水,民电,1,887,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/shfdfs-image/20180118/0546de54-4165-4188-b981-d961a4037b56.jpg.780x439.jpg,2019-07-13 02:55:59
3,浦东,御桥,北欧阳光庭园,237,15800元/月 ,低楼层/3层,5室2厅,南/北,1天前,暂无数据,无,暂无数据,民水,民电,1,887,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/shfdfs-image/20180118/0546de54-4165-4188-b981-d961a4037b56.jpg.780x439.jpg,2019-07-13 02:56:06
4,闸北,永和,永和二村,51,4400元/月 ,中楼层/6层,2室0厅,南,1天前,暂无数据,无,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/hdic-frame/prod-4ebb984d-7a86-4186-bbe3-4270bfd00765.png.780x439.jpg,2019-07-13 02:56:12
5,闸北,永和,永和二村,51,4400元/月 ,中楼层/6层,2室0厅,南,1天前,暂无数据,无,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/hdic-frame/prod-4ebb984d-7a86-4186-bbe3-4270bfd00765.png.780x439.jpg,2019-07-13 02:56:19
6,浦东,陆家嘴,东园四村,32,4800元/月 ,低楼层/6层,1室1厅,南,1天前,暂无数据,无,暂无数据,民水,民电,2,224,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/9f7b01f2-5b24-442f-ab2b-e1157f9c3e03.jpg.780x439.jpg,2019-07-13 02:56:26
7,浦东,陆家嘴,东园四村,32,4800元/月 ,低楼层/6层,1室1厅,南,1天前,暂无数据,无,暂无数据,民水,民电,2,224,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/9f7b01f2-5b24-442f-ab2b-e1157f9c3e03.jpg.780x439.jpg,2019-07-13 02:56:32
8,闵行,静安新城,静安新城七区,90,7000元/月 ,低楼层/11层,2室2厅,南,1天前,暂无数据,有,暂无数据,民水,民电,3,851,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/3249b0cb-9fd5-42e5-a0c4-9d669e7222db.jpg.780x439.jpg,2019-07-13 02:56:39
9,闵行,静安新城,静安新城七区,90,7000元/月 ,低楼层/11层,2室2厅,南,1天前,暂无数据,有,暂无数据,民水,民电,3,851,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/3249b0cb-9fd5-42e5-a0c4-9d669e7222db.jpg.780x439.jpg,2019-07-13 02:56:46
10,徐汇,康健,长海坊,44,3500元/月 (季付价),中楼层/6层,1室1厅,南,5天前,1年以内,无,暂无数据,民水,民电,0,0,1,1,1,1,1,1,1,1,1,1,https://image1.ljcdn.com/310000-inspection/2e7b7d59-799e-4857-af00-5d8b734ac100.jpg.780x439.jpg,2019-07-13 02:56:53
