Address,District,Community,Area,RentPrice,Layer,Shape,Toward,Release_Date,Rent_Period,Is_lift,Is_parking,water_way,electricity_way,Subwayline_Number,Subway_Distance,Is_TV,Is_fridge,Is_washer,Is_air,Is_heater,Is_bed,Is_heating,Is_wifi,Is_closet,Is_gas,Is_img,Catch_time
浦东,周浦,瑞和苑,75,3000元/月 ,高楼层/14层,2室1厅,南,4天前,暂无数据,有,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/prod-b6f7030c-7f71-47eb-b2b7-1393c82bd6f3.jpg.780x439.jpg,2019-07-13 11:05:32
浦东,世博,昌四小区,20,3000元/月 ,高楼层/6层,1室0厅,北,2天前,暂无数据,无,暂无数据,民水,民电,1,559,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/ec6233d9-b471-4001-b98a-00b7d402d311.jpg.780x439.jpg,2019-07-13 11:05:35
闵行,航华,航华四村,44,3400元/月 ,低楼层/6层,1室1厅,南,2天前,暂无数据,无,暂无数据,民水,民电,1,346,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/0b6822d0-191e-47f3-8d3c-dabf625177a2.jpg.780x439.jpg,2019-07-13 11:05:39
浦东,金桥,爱法新城,183,8500元/月 ,高楼层/9层,3室1厅,南,2天前,暂无数据,有,暂无数据,民水,民电,3,349,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/1d2764ed-de71-4510-b163-6bbabd7a2ede.jpg.780x439.jpg,2019-07-13 11:05:43
普陀,甘泉宜川,子长小区,34,3600元/月 ,中楼层/6层,1室1厅,南,今天,暂无数据,无,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/a6fc2483-5597-4464-85c0-cc8d4210175b.jpg.780x439.jpg,2019-07-13 11:05:46
杨浦,东外滩,明园村小区,48,6400元/月 ,中楼层/6层,2室0厅,南,1天前,暂无数据,无,暂无数据,民水,民电,3,182,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/hdic-frame/62c23e39-ba37-4782-a607-e98648d76207.png.780x439.jpg,2019-07-13 11:05:50
黄浦,淮海中路,茂名南路136号,44,7900元/月 (季付价),中楼层/5层,2室0厅,东南,今天,1年以内,无,暂无数据,民水,民电,2,310,1,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/hdic-frame/prod-bffe6a4e-e7b5-45f3-a425-e46ad118cb18.png.780x439.jpg,2019-07-13 11:05:53
徐汇,徐家汇,王家堂小区,35,5200元/月 (季付价),高楼层/6层,1室0厅,南,1天前,1年以内,无,暂无数据,民水,民电,4,485,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/51605fbd-bc16-43a6-9d56-a27269d630f2.jpg.780x439.jpg,2019-07-13 11:05:57
虹口,鲁迅公园,欧四小区,32,3800元/月 ,中楼层/5层,1室1厅,南,今天,暂无数据,无,暂无数据,民水,民电,3,596,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5f6e364b-7bcb-43a3-ade8-412f1c9001aa.jpg.780x439.jpg,2019-07-13 11:06:01
徐汇,万体馆,龙山新村,47,5800元/月 (季付价),高楼层/6层,2室1厅,南,2天前,1~2年,无,暂无数据,民水,民电,5,55,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/dee89d80-ba86-4a95-a748-c5b10807a7a2.jpg.780x439.jpg,2019-07-13 11:06:04
闵行,莘庄,莘松五村,58,4600元/月 (季付价),中楼层/5层,2室1厅,南,3天前,1年以内,无,暂无数据,民水,民电,0,0,1,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/310000-inspection/0215bbfe-bd36-421b-959a-f0653c659be8.jpg.780x439.jpg,2019-07-13 11:06:08
松江,九亭,青春驿站,71,5300元/月 ,中楼层/15层,2室1厅,南,2天前,暂无数据,有,暂无数据,民水,民电,1,729,0,0,0,0,0,0,0,0,0,0,http://vrlab-image.ljcdn.com/release/auto3dhd/59993e1dc1c7c478c0a8dde349102388/screenshot/1558147157_3/pc0_64IiPupzu.jpg.q_70.jpg,2019-07-13 11:06:12
浦东,金桥,银桥花苑,66,6000元/月 ,中楼层/6层,2室1厅,南,1天前,暂无数据,无,暂无数据,民水,民电,2,450,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/22b6fd98-3005-47df-9f01-a32c5a325c6b.jpg.780x439.jpg,2019-07-13 11:06:16
浦东,潍坊,爵士大厦,122,11800元/月 ,高楼层/33层,2室2厅,南,2天前,暂无数据,有,暂无数据,民水,民电,2,473,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/prod-9029fa71-9943-4677-916e-b5a69665031f.jpg.780x439.jpg,2019-07-13 11:06:19
闸北,西藏北路,通阁小区,41,4500元/月 ,低楼层/7层,1室1厅,南,5天前,暂无数据,无,暂无数据,民水,民电,2,389,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/1341c810-f8bf-4488-8e0b-2b9998d21176.jpg.780x439.jpg,2019-07-13 11:06:23
闵行,梅陇,西班牙名园,102,9000元/月 (季付价),中楼层/17层,2室2厅,南,2天前,1年以内,有,暂无数据,民水,民电,1,31,1,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/310000-inspection/4b01dc98-94b6-483a-b11a-c17f135afa4f.jpg.780x439.jpg,2019-07-13 11:06:27
徐汇,植物园,百龙小区,57,4500元/月 ,中楼层/6层,2室1厅,南/北,4天前,暂无数据,无,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/947dc685-0230-4738-9510-023ddbac3a35.jpg.780x439.jpg,2019-07-13 11:06:30
浦东,世博,新世纪花苑(三期)(浦东),119,9500元/月 ,中楼层/6层,3室2厅,南/北,2天前,暂无数据,无,暂无数据,民水,民电,3,574,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/269e5cf8-3537-4deb-a6b3-f249940f9f2e.jpg.780x439.jpg,2019-07-13 11:06:34
闵行,古美,新时代花园,130,8000元/月 ,低楼层/12层,3室2厅,南,2天前,暂无数据,有,暂无数据,民水,民电,2,425,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/1ea99000-1517-4dfe-9a9f-66bb56835f38.jpg.780x439.jpg,2019-07-13 11:06:38
浦东,周浦,瑞和苑,54,2800元/月 (季付价),中楼层/14层,1室1厅,南,今天,1~2年,有,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/0061d0fe-8f59-44f9-8a53-b281e3881059.jpg.780x439.jpg,2019-07-13 11:06:41
杨浦,中原,民庆家园,76,6300元/月 (季付价),低楼层/18层,2室1厅,南/北,今天,1年以内,无,暂无数据,民水,民电,1,1171,0,0,0,1,1,0,0,0,0,1,https://image1.ljcdn.com/310000-inspection/4c12d5f3-f7f7-42a5-9690-ce017d67bd54.jpg.780x439.jpg,2019-07-13 11:06:45
杨浦,五角场,创智坊(公寓),138,16000元/月 ,高楼层/8层,3室2厅,南,2天前,暂无数据,有,暂无数据,民水,民电,3,374,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/cf169707-144e-4ed2-9b4b-e8f8a7e5264d.jpg.780x439.jpg,2019-07-13 11:06:49
松江,九亭,九亭中心,45,3400元/月 ,高楼层/12层,1室1厅,东,3天前,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,1,637,0,1,1,1,0,1,0,0,0,0,https://image1.ljcdn.com/310000-inspection/7ec7fa29-0dde-4384-8ccd-8711bfd6f87a.jpg.780x439.jpg,2019-07-13 11:06:52
徐汇,斜土路,茶陵小区,38,4800元/月 ,高楼层/6层,1室0厅,南,5天前,暂无数据,无,暂无数据,民水,民电,3,362,0,0,0,0,0,0,0,0,0,0,http://vrlab-image.ljcdn.com/release/auto3dhd/16d234a51e6ee79a8d7d40bc7e6e97db/screenshot/1554690662_3/pc0_Nv1uHmyuq.jpg.q_70.jpg,2019-07-13 11:06:56
浦东,金桥,连城新苑,92,6500元/月 ,低楼层/14层,3室1厅,南,4天前,暂无数据,有,暂无数据,民水,民电,1,844,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/bad9e1ee-4e85-459e-a538-ab3aa26e664b.jpg.780x439.jpg,2019-07-13 11:07:00
浦东,洋泾,巨西小区,54,6000元/月 ,高楼层/6层,2室1厅,南,2天前,暂无数据,无,暂无数据,民水,民电,2,429,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/74a1b6e8-3d6a-466b-961f-b654d65f070a.jpg.780x439.jpg,2019-07-13 11:07:03
