Address,District,Community,Area,RentPrice,Layer,Shape,Toward,Release_Date,Rent_Period,Is_lift,Is_parking,water_way,electricity_way,Subwayline_Number,Subway_Distance,Is_TV,Is_fridge,Is_washer,Is_air,Is_heater,Is_bed,Is_heating,Is_wifi,Is_closet,Is_gas,Is_img,Catch_time,date,Price,Layer_class,Layer_floor,Release_day_before,lng,lat,level
闵行,梅陇,梅陇二村,55,3850元/月 (季付价),低楼层/6层,1室1厅,南/北,17天前,1年以内,0.0,暂无数据,民水,民电,2,764,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/6dce2e17-df58-4d95-b91a-9a05c28fc8ab.jpg.780x439.jpg,2019-07-13 10:48:00,2019-07-13,3850,低楼层,6,17,121.41768287765956,31.140108722155205,地产小区
浦东,世博,六里二村,25,3700元/月 (季付价),高楼层/6层,1室1厅,南,22天前,1年以内,0.0,暂无数据,民水,民电,4,401,0,1,1,0,1,1,0,1,1,0,https://image1.ljcdn.com/lease-image/house/55d9bc80-4bb5-4d6c-a42f-396c19c91af0.jpg.780x439.jpg,2019-07-13 10:48:00,2019-07-13,3700,高楼层,6,22,116.5430934151074,23.577147071160834,UNKNOWN
浦东,南码头,光鸿苑,98,8000元/月 (季付价),高楼层/6层,3室2厅,南/北,1个月前,1年以内,0.0,暂无数据,民水,民电,3,692,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/4ef9f2c7-9ed1-4498-8b92-d1703d49bd4e.jpg.780x439.jpg,2019-07-13 10:48:00,2019-07-13,8000,高楼层,6,30,121.5223362816402,31.20607652861514,地产小区
闵行,春申,高兴花园,48,3500元/月 (季付价),中楼层/6层,1室1厅,南/北,10天前,1年以内,0.0,暂无数据,民水,民电,0,0,0,0,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/5cd3ede7-24a3-4e04-bea9-3695b3a82b7c.jpg.780x439.jpg,2019-07-13 10:48:00,2019-07-13,3500,中楼层,6,10,121.40893959916482,31.117246419253913,地产小区
徐汇,徐家汇,乐山二村,33,5300元/月 (季付价),中楼层/6层,1室1厅,东南,11天前,1年以内,0.0,暂无数据,民水,民电,4,665,0,1,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/lease-image/house/fad0f8f0-bcdf-4d6c-8776-0c21d379143b.jpg.780x439.jpg,2019-07-13 10:48:00,2019-07-13,5300,中楼层,6,11,121.43694226482727,31.203143678455316,地产小区
徐汇,徐家汇,南丹小区,30,4850元/月 (季付价),中楼层/6层,1室0厅,南,7个月前,1年以内,0.0,暂无数据,民水,民电,3,486,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/53a10301-2253-447e-9bcf-8812955eee6f.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,4850,中楼层,6,210,121.4367794038349,31.197588602502574,地产小区
松江,九亭,奥林匹克花园,89,5500元/月 (季付价),低楼层/13层,2室2厅,南/北,13天前,1年以内,1.0,暂无数据,民水,民电,2,1086,0,1,1,0,1,1,0,1,0,1,https://image1.ljcdn.com/lease-image/house/6037a43a-583b-432c-8718-fb3967a0b3a2.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,5500,低楼层,13,13,121.32883132515911,31.15775766160566,地产小区
徐汇,徐家汇,南丹小区,37,4850元/月 (季付价),低楼层/7层,1室1厅,东南/南,24天前,1年以内,0.0,暂无数据,民水,民电,3,486,0,1,1,0,1,1,0,0,0,0,https://image1.ljcdn.com/lease-image/house/32a0d08f-d53f-481a-8640-cc81d94f90c2.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,4850,低楼层,7,24,121.4367794038349,31.197588602502574,地产小区
闵行,莘庄,万科假日风景(公寓),126,7800元/月 (季付价),中楼层/6层,3室2厅,南,23天前,1年以内,0.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/d2be4185-3fa3-4ff8-9c3b-69777a7fdd36.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,7800,中楼层,6,23,121.40816561913743,31.111718772510798,地产小区
徐汇,徐家汇,汇翠花园,67,9350元/月 (季付价),中楼层/16层,1室2厅,南,1个月前,1年以内,1.0,暂无数据,民水,民电,6,187,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/5fe66483-5240-467c-9134-c01ba674432b.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,9350,中楼层,16,30,121.44430192017552,31.19093601455116,地产小区
松江,九亭,五洲云景花苑,55,3900元/月 (季付价),中楼层/11层,1室1厅,南,12天前,1年以内,1.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/b449a583bb2fc193ef3abd7da380c2ed.jpeg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,3900,中楼层,11,12,121.31877294266894,31.156226485918484,地产小区
浦东,金杨,金樟花苑,78,5600元/月 (季付价),高楼层/6层,2室1厅,南,4天前,1年以内,0.0,暂无数据,民水,民电,0,0,0,1,0,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/395ebab8-ad1a-41eb-8e50-aed9f546bc5c.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,5600,高楼层,6,4,121.33971031591804,28.56706064183346,地产小区
闵行,春申,薇馨家园,77,4300元/月 (季付价),低楼层/6层,2室1厅,南/北,12天前,1年以内,0.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,0,1,1,0,https://image1.ljcdn.com/lease-image/house/2f3ad6df-fe46-44b6-b7f2-bc840243f98d.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,4300,低楼层,6,12,121.43854880338436,31.121997673383284,地产小区
浦东,金杨,黄山新村,32,4000元/月 (季付价),低楼层/6层,1室1厅,南,23天前,1年以内,0.0,暂无数据,民水,民电,2,537,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/4c8bb22f-c464-401c-a59e-3c9e9adab6fd.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,4000,低楼层,6,23,117.24160997962245,34.2631307078031,地产小区
徐汇,徐家汇,永新城,66,12988元/月 (季付价),高楼层/9层,1室2厅,南,1个月前,1年以内,1.0,暂无数据,民水,民电,3,567,0,1,1,1,0,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/034621bc-1348-40da-a4f2-b65fd51071eb.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,12988,高楼层,9,30,121.44942398273577,31.19922655639215,工业园区
